A0,133,0,133,0,133,0,132,0,3249485
400,31,31,30,32,0,0,0,0,3314700
A2,21,0,21,0,119,1,0,0,3420951
400,31,31,30,33,0,0,0,0,3545950
766,0,0,0,0,135,1,,,3652200
400,31,31,30,33,0,2,0,3,3695949
A7,1,0,0,0,0,0,0,0,3802200
400,31,31,30,33,0,2,0,2,3809458
AA,4,12,9,0,0,16,64,1,3908450
400,31,31,30,33,0,2,0,2,3915709
AB,0,0,0,0,0,0,0,0,4014701
400,31,31,30,33,0,2,0,2,4021893
C0,0,0,0,0,1,2,0,0,4120950
400,31,31,30,33,0,2,0,2,4128211
A7,0,0,0,0,0,0,0,0,4227201
400,31,31,30,33,0,2,0,2,4234394
AA,4,12,9,0,0,16,64,1,4333450
AB,0,0,0,0,0,0,0,0,4344723
766,0,0,0,0,135,1,,,4351476
C0,0,0,0,0,1,2,0,0,4358538
387,255,254,48,253,127,87,235,39,4365802
380,0,0,0,0,170,106,70,157,4372930
A7,0,0,0,0,0,0,0,0,4380089
AA,4,12,9,0,0,16,64,1,4387278
AB,0,0,0,0,0,0,0,0,4394481
766,0,0,0,0,135,1,,,4401667
C0,0,0,0,0,1,2,0,0,4408806
A7,0,0,0,0,255,255,0,0,4415991
AA,4,12,9,0,0,16,64,1,4423194
AB,0,0,0,0,0,0,0,0,4430446
766,0,0,0,0,135,1,,,4437773
387,0,0,48,253,127,87,235,39,4445021
C0,0,0,0,0,1,2,0,0,4452288
400,31,31,30,33,0,2,0,2,4463695
A7,0,0,0,0,0,0,0,0,4531888
AA,4,12,9,0,0,16,64,1,4539214
AB,0,0,0,0,0,0,0,0,4546557
766,0,0,0,0,135,1,,,4553883
C0,0,0,0,0,1,2,0,0,4561218
A7,0,0,0,0,0,0,0,0,4568476
A7,0,0,0,0,0,0,0,0,4575820
A7,0,0,0,0,0,0,0,0,4583076
A7,0,0,0,0,0,0,0,0,4590350
C0,0,0,0,0,1,2,0,0,4597608
766,0,0,0,0,0,1,,,4604820
766,0,0,0,0,0,1,,,4612101
380,27,0,0,0,170,110,70,157,4619373
A7,0,0,0,0,1,0,0,0,4626644
A7,1,0,0,0,0,0,0,0,4633981
766,0,0,0,0,0,1,,,4641234
C0,0,0,0,0,1,2,0,0,4648566
A7,1,0,0,0,0,0,0,0,4659912
AA,4,12,9,0,0,16,64,1,4666601
AB,0,0,0,0,0,0,0,0,4673638
